Id,L0_S5_F116,L3_S36_F3934,L1_S25_F2530,L3_S30_F3504,L2_S26_F3062,L1_S24_F1036,L1_S25_F2061,L1_S25_F2662,L3_S44_F4118,L1_S25_F2144,L1_S24_F1411,L1_S24_F1467,L1_S25_F2712,L0_S19_F459,L3_S37_F3946,L1_S25_F2990,L1_S24_F808,L1_S25_F2747,L3_S29_F3367,L1_S25_F2466,L1_S25_F2749,L1_S24_F1520,L3_S30_F3609,L1_S24_F829,L0_S3_F88,L1_S25_F2545,L1_S24_F790,L1_S25_F2682,L1_S25_F2504,L1_S24_F1426,L0_S15_F394,L1_S25_F2842,L0_S21_F517,L1_S24_F1068,L1_S25_F2096,L1_S25_F2808,L0_S0_F4,L1_S24_F1235,L0_S17_F433,L3_S41_F4002,L3_S30_F3579,L1_S25_F2176,L3_S35_F3884,L1_S24_F844,L2_S28_F3259,L3_S29_F3479,L0_S11_F294,L1_S24_F897,L1_S25_F2594,L0_S12_F338,Response
4,,,,-3.0,,,,,,,,,,,0.0,,,,0.04,,,,,,,,,,,,,,,,,,-0.197,,,,,,0.0,,,67.0,106.0,,,,0
6,,,,-3.0,,,,,,,,,,,0.0,,,,-174.0,,,,0.06,,,,,,,,,,8.0,,,,,,,,255.0,,0.0,,,-71.0,,,,0.16899999999999998,0
7,138.0,,,0.009000000000000001,,,,,,,,,,,0.0,,,,0.07,,,,-0.056,,,,,,,,,,,,,,3.0,,,,-78.0,,0.0,,,-0.027000000000000003,,,,,0
9,,0.0,,-3.0,,,,,,,,,,,0.0,,,,-207.0,,,,-43.0,,,,,,,,,,,,,,294.0,,,,0.013,,,,,-43.0,,,,,0
11,,0.0,,0.0,,,,,,,,,,,0.0,,,,-0.13699999999999998,,,,-33.0,,0.0,,,,,,,,,,,,294.0,,,,0.013,,,,,106.0,-5.0,,,,0
13,,0.0,,4.0,,,,,,,,,,,0.0,,,,0.15,,,,92.0,,0.0,,,,,,,,,,,,294.0,,,,-48.0,,,,,-75.0,,,,,0
14,,,,4.0,,,,,,,,,,-0.39,0.0,,,,285.0,,,,-0.116,,,,,,,,12.0,,,,,,,,-447.0,,-78.0,,0.0,,,-0.09,,,,113.0,0
16,,,,8.0,34.0,,,,,,,,,,0.0,,,,131.0,,,0.037000000000000005,81.0,,,,,,,,,,,,,,,,,,-139.0,,0.0,,,-4.0,,,,,0
18,,0.0,,-3.0,,,,,,,,,,,0.0,,,,0.21,,,,,,,,,,,,,,,,,,-179.0,,,,,,,,,125.0,,,,,0
23,,,,2.0,,,,,,,,,,,0.0,,,,61.0,,,,,,,,,,,,,,-3.0,,,,,,-253.0,,,,0.0,,,-12.0,,,,-53.0,0
26,,0.0,,4.0,,,,,,,,,,,0.0,,,,12.0,,,,94.0,,,,,,,,,,,,,,-15.0,,,,-0.108,,,,,86.0,,,,,0
27,0.044,0.0,,2.0,,,,,,,,,,,0.0,,,,-0.054000000000000006,,,,,,0.0,,,,,,,,,,,,-0.197,,,,,,,,,0.11,,,,,0
28,,,,-5.0,,,,,,,,,,,0.0,,,,0.04,,,,,,0.0,,,,,,,,,,,,0.3670000000000001,,,,,,0.0,,,,,,,,0
31,,,,0.0,,,,,,,,,,,0.0,,,,-0.18,,,,,,,,,,,,,,,,,,-161.0,,,,,,0.0,,,,,,,,0
34,-51.0,0.0,,-3.0,,,,,,,,,,,0.0,,,,-163.0,,,,,,,,,,,,,,,,,,-0.197,,,,,,,,,78.0,,,,,0
38,,0.0,,0.009000000000000001,,,,,,,,,,,0.0,,,,-38.0,,,,-23.0,,,,,,,,,,,,,,3.0,,,,-78.0,,,,,-114.0,,,,,0
41,,0.0,,-3.0,,,,,,,,,,-4.0,0.0,,,,-0.118,,,,,,,,,,,,,,,,,,,,-358.0,,,,,,,16.0,,,,2.0,0
44,-152.0,,,-3.0,,,,,,,,,,,0.0,,,,-146.0,,,,-0.07200000000000001,,,,,,,,,,,,,,3.0,,,,-0.018000000000000002,,0.0,,,-78.0,,,,,0
47,,0.0,,-1.0,,,,,,,,,,,0.0,,,,-163.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,12.0,,,,0.058,0
49,,0.0,,4.0,,,,,,,,,,,0.0,,,,-0.029,,,,-0.056,,0.0,,,,,,,,,,,,0.33,,,,0.104,,,,,8.0,,,,,0
52,,,,0.009000000000000001,-0.13699999999999998,,,,,-185.0,,,,,0.0,,,,-0.097,,,,102.0,,,,,,,,,,,,0.011,,,,,,43.0,-0.028,0.0,,,-4.0,,,,,0
55,,,,0.0,,,,,,,,,,-0.041,0.0,,,,42.0,,,,0.08900000000000001,,,,,,,,12.0,,,,,,,,,,73.0,,0.0,,,-16.0,,,,-53.0,0
56,,0.0,,0.0,,,,,,,,,,,0.0,,,,23.0,,,,-12.0,,,,,,,,,,,,,,-33.0,,,,-139.0,,,,,-4.0,,,,,0
57,251.0,,,0.0,,,,,,,,,,,0.0,,,,293.0,,,,-114.0,,,,,,,,,,,,,,-0.197,,,,0.104,,0.0,,,12.0,,,,,0
63,,0.0,,-5.0,,,,,,,,,,-4.0,0.0,,,,-0.13699999999999998,,,,-95.0,,,,,,,,12.0,,,,,,,,,,225.0,,,,,-4.0,,,,0.058,0
68,-0.17800000000000002,,,-3.0,,,,,,,,,,,0.0,,,,177.0,,,,-0.02,,0.0,,,,,,,,,,,,312.0,,,,0.013,,0.0,,,-125.0,,,,,0
70,68.0,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-179.0,,,0.0,,,,,,,,,,,0
71,,,,-3.0,,,,,,,,,,,0.0,,,,-146.0,,,,-134.0,,0.0,,,,,,,,,,,,276.0,,,,195.0,,0.0,,,-86.0,-79.0,,,,0
72,,,,-5.0,,,,,,,,,,,0.0,,,,0.15,,,,-31.0,,,,,,,,,,,,,,,,0.044,,134.0,,0.0,,,31.0,,,,113.0,0
73,,,,3.0,,,,,,,,,,,0.0,,,,165.0,,,,,,,,,,,,12.0,,,,,,,,-0.35100000000000003,,,,0.0,,,47.0,,,,0.058,0
75,147.0,0.0,,-5.0,,,,,,,,,,,0.0,,,,-207.0,,,,0.097,,,,,,,,,,,,,,312.0,,,,43.0,,,,,-35.0,-0.022,,,,0
76,,,,-3.0,,,,,,,,,,157.0,0.0,,,,0.04,,,,,,,,,,,,,,,,,,,,192.0,,,,0.0,,,0.08199999999999999,,,,-53.0,0
78,-128.0,,,3.0,,,,,,,,,,,0.0,,,,-0.18,,,,,,0.0,,,,,,,,,,,,3.0,,,,,,0.0,,,86.0,62.0,,,,0
79,,0.0,,-2.0,,,,,,,,,,,0.0,,,,-0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,2.0,0
81,,0.0,,-5.0,,,,,,,,,,,0.0,,,,-66.0,,,,-0.036000000000000004,,0.0,,,,,,,,,,,,-179.0,,,,-48.0,,,,,-71.0,-0.04,,,,0
82,,0.0,,4.0,,,,,,,,,,,0.0,,,,0.07,,,,0.037000000000000005,,,,,,,,,,,,,,-179.0,,,,-0.108,,,,,-0.027000000000000003,-0.041,,,,0
84,,0.0,,1.0,-68.0,,,,,,,,,,0.0,,,,23.0,,,-0.013,42.0,,,,,,,,,,,,,,,,,,-78.0,,,,,-31.0,,,,,0
86,-128.0,0.0,,4.0,,,,,,,,,,,0.0,,,,-207.0,,,,66.0,,0.0,,,,,,,,,,,,-33.0,,,,-0.16899999999999998,,,,,0.0,,,,,0
87,,,,4.0,,,,,,,,,,,0.0,,,,0.23,,,,0.08900000000000001,,0.0,,,,,,,,,,,,0.33,,,,0.34600000000000003,,0.0,,,63.0,,,,,0
88,,,,-5.0,,,,,,,,,,141.0,0.0,,,,-85.0,,,,-0.059,,,,,,,,,,,,,,,,223.0,,0.013,,0.0,,,4.0,,,,2.0,0
91,,,,-3.0,,,,,,,,,,,0.0,,,,0.101,,,,,,,,,,,,,,,,,,-161.0,,,,,,0.0,,,47.0,,,,,0
92,-98.0,0.0,,3.0,,,,,,,,,,,0.0,,,,-146.0,,,,-0.119,,0.0,,,,,,,,,,,,-0.052000000000000005,,,,-0.108,,,,,-71.0,,,,,0
93,-51.0,0.0,,4.0,,,,,,,,,,,0.0,,,,-0.097,,,,19.0,,0.0,,,,,,,,,,,,-15.0,,,,-139.0,,,,,-35.0,-152.0,,,,0
95,,0.0,,0.0,,,,,,,,,,,0.0,,,,131.0,,,,-124.0,,,,,,,,,,,,,,-0.052000000000000005,,,,0.104,,,,,-35.0,-84.0,,,,0
96,226.0,,,0.0,,,,,,,,,,,0.0,,,,-0.097,,,,3.0,,0.0,,,,,,,,,,,,-15.0,,,,-78.0,,0.0,,,-67.0,,,,,0
97,,0.0,,6.0,,,,,,,,,,-0.009000000000000001,0.0,,,,258.0,,,,0.029,,,,,,,,,,,,,,,,,,134.0,,,,,-71.0,,,,0.058,0
98,-75.0,0.0,,-2.0,,,,,,,,,,,0.0,,,,-38.0,,,,-75.0,,0.0,,,,,,,,,,,,-33.0,,,,73.0,,,,,-86.0,-139.0,,,,0
99,-0.18,0.0,,0.0,,,,,,,,,,,0.0,,,,-193.0,,,,-69.0,,,,,,,,,,,,,,0.33,,,,-139.0,,,,,-4.0,,,,,0
102,,0.0,,-5.0,,,,,,,,,,,0.0,,,,0.15,,,,-33.0,,,,,,,,0.112,,46.0,,,,,,,,0.104,,,,,-78.0,,,,-53.0,0
103,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,-15.0,,,0.0,,,,,,,,,,,0
104,,0.0,,6.0,-12.0,,,,,,,,,,0.0,,,,-207.0,,,,-0.054000000000000006,,0.0,,,,,,,,,,,,276.0,,,,-48.0,,,,,-31.0,-155.0,,,,0
106,-151.0,,,0.0,,,,,,,,,,,0.0,,,,0.26,,,,,,,,,,,,,,,,,,348.0,,,,,,0.0,,,75.0,,,,,0
107,,,,6.0,-75.0,,,,,,,,,,0.0,,,,-85.0,,,-57.0,55.0,,,,,,,,,,,,,,,,,,-139.0,,0.0,,,-47.0,,,,,0
112,134.0,,,0.0,,,,,,,,,,,0.0,,,,-207.0,,,,19.0,,,,,,,,,,,,,,-0.052000000000000005,,,,-139.0,,0.0,,,-24.0,-138.0,,,,0
115,,0.0,,1.0,,,,,,,,,,,0.0,,,,0.15,,,,,,0.0,,,,,,,,,,,,-179.0,,,,,,,,,0.09,,,,,0
116,,0.0,,1.0,,,,,,,,,,387.0,0.0,,,,-228.0,,,,0.058,,,,,,,,12.0,,0.02,,,,,,,,134.0,,,,,8.0,,,,0.058,0
118,,,,-3.0,,,,,,,,,,,0.0,,,,131.0,,,,-0.056,,,,,,,,,,,,,,-33.0,,,,-0.108,,0.0,,,-0.02,,,,,0
120,,,,,,,,,114.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,-33.0,,,0.0,,,,,,,-98.0,,,,0
122,175.0,0.0,,0.0,,,,,,,,,,,0.0,,,,0.15,,,,,,,,,,,,,,,,,,385.0,,,,,,,,,,,,,,0
123,,0.0,,0.0,,,,,,,,,,,0.0,,,,78.0,,,,-33.0,,,,,,,,,,,,,,-0.197,,,,73.0,,,,,-8.0,193.0,,,,0
